,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
268146,Calcot Park Golf Club Ltd,3,10,10,10,2013-12-03,51.44541,-1.035921
268147,California Taco,4,5,5,10,2013-09-23,,
268148,Candy Occasions,5,0,0,5,2015-01-28,,
268149,Caner's Kebabs,5,5,5,0,2014-11-19,51.401347,-1.322257
268150,Care UK At Winchcombe Place Care Home,5,0,5,5,2014-05-16,51.406143,-1.328757
268151,Care UK PLC At Birchwood Care Home,5,0,0,5,2013-08-16,51.407439,-1.298158
268152,Cargo,Exempt,nan,nan,nan,2013-01-03,51.400829,-1.324048
268153,Carries Creations/Capers And Mace,5,0,0,0,2013-12-19,,
268154,Castle At Donnington Ltd,5,5,5,5,2014-01-21,51.417894,-1.328513
268155,"Castle Inn, The",4,10,5,5,2013-07-26,51.424645,-1.265174
268156,Castlegate Short Break Service,4,0,0,10,2013-04-26,51.415092,-1.327533
268157,Catering For Special Occasions,5,5,5,0,2014-06-10,,
268158,CaterLink At Theale Green Community School,5,0,0,0,2014-02-12,51.436569,-1.086259
268159,Caterlink Ltd At Little Heath School,5,0,5,0,2014-12-19,51.457487,-1.057069
268160,Caterlink Ltd At Newbury College,5,0,0,0,2014-06-12,51.382525,-1.323053
268161,Catermaster At Wolseley Plc,5,5,0,0,2014-03-12,51.435621,-1.066396
268162,Catermasters At Bayer Plc,4,5,10,5,2014-12-12,51.404471,-1.327229
268163,Caterplus Services Ltd At Chestnut Walk,1,5,5,20,2014-02-17,51.406647,-1.514817
268164,Caterplus Services Ltd At Notrees,3,10,5,10,2014-02-14,51.399186,-1.452136
268165,Caterplus Services Ltd At Phoenix Resource Centre,5,5,5,5,2014-02-14,51.388678,-1.321956
268166,Caterplus Services Ltd At Walnut Close Care Home,4,5,5,10,2014-02-14,51.404829,-1.266943
268167,Caterplus Services Ltd At Willows Edge Care Home,4,5,5,10,2014-02-14,51.408302,-1.316462
268168,Cath Kidston,Exempt,nan,nan,nan,2013-10-14,51.403867,-1.323788
268169,"Catherine Wheel, The",4,5,10,5,2014-07-23,51.399871,-1.323286
268170,Celebration Cakes,5,0,0,0,2013-05-13,,
268171,CH & Co Catering Ltd At Ericsson,5,5,5,5,2014-03-03,51.400272,-1.296571
268172,Chaffinches,Exempt,nan,nan,nan,2010-05-17,51.403626,-1.274568
268173,Champagne Catering At Newbury Conservative Club,5,5,5,5,2013-11-19,51.398639,-1.321666
268174,Charlene's Buttercream Dream,5,0,0,5,2014-09-29,,
268175,Chartwell At Fir Tree Primary School,4,10,0,10,2013-09-27,51.405979,-1.294658
268176,Chartwell At Kennet School,4,5,5,10,2013-10-25,51.401746,-1.248693
268177,Chartwell At Padworth College,5,5,5,0,2014-03-06,51.392021,-1.120002
268178,Chartwell At Trinity School,5,5,0,5,2014-01-30,51.413169,-1.31846
268179,Chartwells At Bradfield College,4,5,10,5,2013-07-03,51.449054718,-1.13187229633
268180,Chartwells At Faulkner's Kitchen,5,0,0,5,2014-09-03,51.449054718,-1.13187229633
268181,Chenz Chinese Restaurant,3,10,10,10,2014-09-26,51.399871,-1.323286
268182,Chequers Hotel,3,5,10,10,2014-02-16,51.406108,-1.325767
268183,Chick King,5,0,0,0,2013-09-02,51.4,-1.325253
268184,Chick King/Crown Mead Fish Bar,2,10,15,10,2013-09-11,51.403421,-1.261805
268185,Chieveley Motor Co Ltd,5,0,0,0,2013-03-05,51.44242,-1.282457
268186,Chieveley Pre School,5,0,5,5,2012-09-14,51.46572,-1.315921
268187,Chieveley Village Stores And Post Office,1,10,15,20,2014-09-07,51.462479,-1.316733
268188,Chilis Indian Restaurant,3,10,10,10,2014-11-19,51.398089,-1.321357
268189,Chill And Grill,5,nan,nan,nan,2014-11-10,51.404569,-1.146099
268190,Chillipepperplants.co.uk,5,0,0,5,2014-12-12,,
268191,China Garden,5,5,5,0,2014-09-26,51.397076,-1.326533
268192,China Kitchen,5,0,0,5,2013-02-15,51.408526,-1.247273
268193,Choice Care Group At Boxgrove House,5,5,5,0,2013-09-26,51.455401,-1.059415
268194,Choice Care Group At Little Heath Court,5,5,0,0,2015-01-20,51.455401,-1.059415
268195,Choice Ltd At Appletrees,5,0,5,5,2012-11-21,51.424869,-1.181016
268196,Choice Ltd At Rowan Cottage,5,5,0,0,2015-01-20,51.411431,-1.04939
268197,"Chop Shop,The",4,5,5,10,2014-06-27,51.401391,-1.323321
268198,Chop Suey House,1,10,20,20,2015-01-04,51.398307,-1.3264
268199,Christians Together In Mission T/a Cafe B,4,5,5,10,2014-02-24,51.391511,-1.068041
268200,Christine Barry,5,0,0,0,2013-03-23,,
268201,Cibus Catering,3,10,10,10,2012-06-13,,
268202,Ciderniks,5,5,5,5,2012-06-01,,
268203,Cinnamon Tree,4,5,10,5,2014-02-02,51.373409,-1.037822
268204,Claire's Cakes,5,0,0,5,2012-11-12,,
268205,Clara Vitoriano,4,0,0,10,2015-01-26,,
268206,Clever CoCo Ltd,5,0,0,5,2014-11-17,,
268207,"Cloisters, The",5,5,5,5,2014-03-26,51.381789,-1.3391
268208,"Coach And Horses, The",2,10,15,10,2013-03-27,51.398253,-1.21244
268209,"Coach, The",3,10,5,10,2013-11-22,51.485301,-1.29273
268210,Cobbs Farm Shop,4,0,10,5,2014-08-29,51.412411,-1.548646
268211,Cobbs Farm Shop Restaurant,4,10,5,5,2014-03-26,51.412411,-1.548646
268212,"Cock Inn, The",5,5,5,5,2014-06-26,51.409066,-1.314768
268213,Coffee #1,5,0,0,5,2014-06-18,51.403867,-1.323788
268214,Coffee Exchange,2,10,15,10,2013-12-09,51.375033,-1.282002
268215,"Coffee House In The Corn Exchange, The",5,5,0,0,2014-07-18,51.400884,-1.322639
268216,Cold Ash Post Office & Store,5,0,5,0,2012-11-21,51.421942,-1.264311
268217,Colourful Cupcakes,5,0,0,0,2013-01-15,,
268218,Combes Catering At Two Saints Direct Access Hostel,5,5,5,0,2014-11-13,51.388678,-1.321956
268219,"Comfort Hotel,The",5,5,5,5,2014-01-21,51.407269,-1.128192
268220,Community Furniture Project,5,5,0,5,2014-05-07,51.39899,-1.312504
268221,Compass Caterers At St Gabriels School,4,10,5,5,2014-03-04,51.377252,-1.316277
268222,Compass Contract Services At Whitelands Park Primary School,2,15,5,10,2014-05-16,51.40902,-1.265712
268223,Compton Pre-School Playgroup & Toddlers,5,0,0,0,2014-05-20,51.51446,-1.250602
268224,"Compton Swan,The",2,10,15,10,2015-01-16,51.516718,-1.252236
268225,Compton Village Shop,4,5,5,10,2013-08-08,51.515923,-1.2515
268226,Cook And Butcher,5,5,5,5,2013-06-18,51.403314,-1.25909
268227,Cook And Butcher's Veg Shed,5,5,0,0,2014-09-11,51.403306,-1.259277
268228,Coombe House Residential Home,5,5,0,5,2013-12-09,51.4533843994,-1.03938496113
268229,"Co-Operative Food Store, The",5,5,5,5,2013-10-11,51.4023,-1.257985
268230,"Co-Operative Food, The",5,0,5,0,2014-03-21,51.469686,-1.044581
268231,"Co-Operative Food, The",5,0,0,0,2013-03-27,51.418145,-1.512106
268232,"Co-Operative Food, The",5,5,0,0,2012-11-20,51.415991,-1.515279
268233,"Co-Operative Food, The",5,0,0,0,2012-10-15,51.437418,-1.075279
268234,"Co-Operative Food, The",4,10,0,0,2013-06-07,51.401331,-1.064751
268235,"Co-Operative Food, The",5,5,0,5,2013-03-12,51.507071,-1.531805
268236,"Co-Operative Food, The",4,10,5,5,2014-03-07,51.397517,-1.24823
268237,"Co-Operative Food, The",5,0,0,0,2013-11-07,51.402582,-1.257146
268238,"Co-Operative Food, The",5,5,0,5,2012-11-20,51.483804,-1.086367
268239,"Co-Operative Food, The",5,0,5,0,2013-02-04,51.408526,-1.247273
268240,"Co-operative,The",4,0,10,10,2014-06-26,51.39659,-1.328035
268241,"Coopers Arms, The",5,5,5,5,2014-06-23,51.4,-1.325253
